price,apartment_type,metro_station,minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,renovation
14.55,Secondary, Ботанический сад,4,0,56.0,30.4,11.3,18,18,Cosmetic
4.4,New building,Царицыно,4,1,24.7,24.7,8.7,4,13,Cosmetic
24.85196,Secondary, Ботанический сад,16,1,39.1,14.3,11.5,2,38,European-style renovation
33.356,Secondary,Бутырская ,21,4,107.6,56.6,22.0,3,8,Without renovation
13.5,Secondary,Дмитровская,6,2,51.0,30.0,7.0,1,9,Cosmetic
12.8,Secondary, Мичуринский проспект,5,0,28.0,16.3,9.0,10,41,Without renovation
7.91152,New building,Братиславская,13,1,40.16,22.4,10.0,11,16,Cosmetic
17.5,Secondary,Мичуринский проспект,8,2,54.0,32.0,9.0,6,16,Cosmetic
34.7,Secondary,Зюзино,12,2,97.3,53.1,12.6,20,23,Without renovation
17.8,Secondary,Академическая,12,2,44.6,33.6,6.0,3,8,European-style renovation
16.25482,Secondary, Аэропорт Внуково,17,4,86.6,43.4,22.5,9,9,Cosmetic
12.877,New building,Братиславская,13,3,79.0,42.1,13.2,12,16,Cosmetic
10.7,Secondary, Рассказовка,7,1,41.8,20.0,10.4,19,25,European-style renovation
10.6675,New building,Братиславская,13,2,62.75,33.9,11.8,2,16,Cosmetic
76.0,Secondary,Таганская,5,5,158.9,120.0,22.0,4,12,Designer
24.5,Secondary,Беговая,12,3,80.0,53.9,9.0,3,10,Without renovation
7.6473,New building,Депо,19,1,43.95,17.3,12.0,7,11,Cosmetic
9.50139,New building,Депо,14,2,54.7,23.5,19.4,2,11,Cosmetic
10.02921,New building,Братиславская,13,2,55.41,30.1,11.2,5,16,Cosmetic
14.3,Secondary,Крымская,17,2,42.6,30.0,5.0,5,5,Cosmetic
14.0,Secondary,Ботанический сад,20,0,60.0,50.0,10.0,16,18,Designer
2.95,Secondary,Битца,14,0,10.6,7.5,7.5,1,9,Cosmetic
8.6,Secondary,Тульская,12,0,23.7,14.1,8.6,1,4,European-style renovation
28.5,Secondary,Измайловская,11,4,93.1,63.0,9.4,4,5,Cosmetic
25.69,Secondary,Чкаловская,13,2,67.9,43.6,9.1,5,8,European-style renovation
16.0,Secondary,Сетунь,26,3,62.0,45.0,7.5,7,9,European-style renovation
4.0,Secondary,Ясенево,9,0,14.5,11.0,2.0,1,16,Without renovation
21.9,Secondary, Хорошёво,26,1,39.1,21.9,9.9,17,43,European-style renovation
16.0,Secondary,Новопеределкино,20,2,68.4,33.0,10.0,22,25,European-style renovation
28.5,Secondary,Коломенская,17,3,84.9,42.1,27.6,6,33,Cosmetic
8.541585,Secondary, Стахановская,8,6,27.9,16.2,8.9,5,32,Cosmetic
58.0,Secondary,Беговая,4,4,156.0,90.0,25.0,15,32,European-style renovation
8.477,Secondary,Красный Балтиец,14,0,23.3,20.5,8.6,7,7,Cosmetic
36.0,Secondary,Панфиловская,6,3,83.0,54.3,9.8,2,9,Designer
36.876,Secondary,ЗИЛ,18,3,86.1,45.7,13.8,5,16,European-style renovation
11.3297,New building,Депо,19,2,63.65,24.8,17.9,14,11,Cosmetic
16.514726,New building,Варшавская,6,2,60.86,32.9,11.7,5,15,Cosmetic
10.98,Secondary,Теплый Стан,23,1,38.0,19.0,8.0,10,16,Cosmetic
10.9,Secondary, Черкизовская,18,0,30.0,16.0,6.0,5,5,Designer
15.9,Secondary,Коммунарка,30,1,50.5,27.7,16.5,3,12,Cosmetic
36.893,Secondary,Фили,18,5,134.0,93.8,13.1,28,28,Cosmetic
20.9,Secondary,Алексеевская,5,3,65.1,46.9,8.0,5,16,Cosmetic
19.166784,Secondary, Красный Балтиец,6,1,44.8,12.3,17.0,2,25,European-style renovation
11.05456,New building,Братиславская,13,2,62.81,33.3,11.7,2,16,Cosmetic
15.0,Secondary,Варшавская,4,2,66.4,36.5,6.0,5,5,Cosmetic
18.695759,Secondary, Шелепиха,9,1,35.0,15.5,10.0,15,32,European-style renovation
8.77832,New building,Депо,19,1,44.56,13.9,18.5,23,11,Cosmetic
49.0,Secondary,Измайловская,11,3,98.2,58.0,15.0,17,35,Designer
5.1,Secondary,Некрасовка,8,0,20.5,12.5,8.3,2,17,European-style renovation
