price,apartment_type,metro_station,minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,renovation
110.0,Secondary,Академическая,17,6,360.0,200.0,30.0,23,26,Without renovation
750.0,Secondary, Спортивная,9,6,325.0,166.4,33.5,14,18,Without renovation
170.0,Secondary,Белорусская,7,4,250.0,175.0,15.0,2,17,Designer
380.0,Secondary, Ломоносовский проспект,4,6,303.8,155.7,31.8,3,9,Without renovation
396.0,Secondary,Смоленская,9,5,252.0,170.0,25.0,3,7,Without renovation
97.0,Secondary, Деловой центр,2,3,192.0,99.2,22.5,41,75,Designer
506.46,Secondary, Третьяковская,3,4,168.82,8.5,20.6,4,7,Designer
236.5845,Secondary, Хорошёво,18,4,144.7,61.4,15.2,8,8,Designer
236.565,Secondary, Полянка,3,6,225.3,116.0,25.3,2,8,Without renovation
86.0,Secondary, Деловой центр,3,2,114.0,92.0,12.0,46,75,Designer
147.213,Secondary, Улица 1905 года,15,3,148.7,77.3,18.9,4,20,Designer
90.0,Secondary, Шелепиха,12,5,158.0,82.0,19.7,30,37,Without renovation
130.0,Secondary,Смоленская,6,5,188.0,109.0,13.0,2,9,Designer
170.0,Secondary,Деловой центр,3,3,232.0,119.4,25.8,48,72,Designer
270.0,Secondary, Белорусская,6,0,522.0,266.0,49.8,6,6,Without renovation
118.5,Secondary, Славянский бульвар,29,5,212.0,109.3,24.2,27,30,Designer
280.5,Secondary,Полянка,6,4,165.0,85.6,16.0,2,6,Designer
153.0,Secondary, Арбатская,6,3,94.0,57.0,8.0,2,7,Designer
90.0,Secondary,Шелепиха,14,5,173.0,111.0,18.0,23,41,Designer
500.0,Secondary, Октябрьское поле,8,6,840.0,426.8,76.1,1,3,Without renovation
140.0,Secondary,Полянка,5,6,327.5,250.0,20.0,1,2,Without renovation
98.0,Secondary,Юго-Западная,14,5,195.8,101.1,22.8,17,21,European-style renovation
350.0,Secondary, Парк Культуры,6,4,249.0,150.0,15.0,2,6,Designer
271.7,Secondary, Спортивная,7,5,209.0,107.8,23.9,16,16,Without renovation
156.0,Secondary, Спортивная,8,4,140.0,72.9,18.2,5,15,Without renovation
85.0,Secondary,Славянский бульвар,20,4,168.0,87.1,20.5,10,31,European-style renovation
272.4022,Secondary,Добрынинская,5,4,171.6,10.0,20.8,2,6,Designer
210.0,Secondary,Смоленская,6,3,185.0,95.7,21.9,13,16,European-style renovation
96.5,Secondary, Беговая,5,3,86.07,27.2,26.9,7,21,Designer
95.0,Secondary,Цветной бульвар,6,5,227.0,118.0,24.0,4,7,Without renovation
100.899,Secondary, Минская,28,5,137.0,82.0,15.0,8,12,Without renovation
159.3,Secondary,Терехово,46,4,267.0,137.1,122.0,3,4,Designer
97.0,Secondary, Улица 1905 года,7,2,108.0,35.0,30.5,9,21,Designer
134.681,Secondary,Арбатская,6,3,138.2,72.0,30.0,4,4,Without renovation
87.0,Secondary,Давыдково,23,5,139.0,75.0,20.0,16,25,Without renovation
330.0,Secondary, Белорусская,12,5,285.0,20.0,22.0,7,7,Without renovation
235.0,Secondary, Спортивная,11,4,178.0,119.6,11.6,6,12,Designer
85.0,Secondary,Щукинская,14,4,189.2,97.8,22.3,9,35,Designer
113.5,Secondary, Деловой центр,4,3,190.0,100.0,10.0,39,73,Designer
430.0,Secondary, Фрунзенская,9,4,200.0,103.2,23.2,3,14,Designer
200.0,Secondary,Славянский бульвар,20,4,204.9,105.7,23.6,28,31,Designer
230.0,Secondary,Смоленская,9,4,164.0,92.0,26.5,4,5,European-style renovation
200.0,Secondary, Улица 1905 года,12,6,250.8,128.9,27.4,34,44,Designer
125.0,Secondary, Кропоткинская,5,5,175.0,112.0,20.0,4,5,Designer
205.0,Secondary,Новокузнецкая,3,7,343.6,175.8,35.1,8,9,European-style renovation
135.0,Secondary,Давыдково,24,5,261.7,134.4,28.3,7,9,Without renovation
180.018875,Secondary,Курская,11,4,138.0,100.0,18.0,2,11,Designer
283.55616,Secondary,Охотный ряд,7,3,139.0,72.4,25.0,4,5,Without renovation
128.0,Secondary, Маяковская,3,5,229.0,130.0,25.0,7,8,Designer
129.9,Secondary,Сретенский бульвар,4,6,250.0,125.0,30.0,4,4,Cosmetic
243.21625,Secondary,Кропоткинская,4,4,152.6,106.0,27.0,3,5,Designer
120.0,Secondary, Петровский Парк,15,4,135.6,91.0,9.0,23,37,Designer
118.124,Secondary, Воробьёвы горы,13,2,113.8,30.1,16.1,9,18,Designer
244.339132,Secondary,Курская,9,5,279.0,142.3,25.0,3,10,Without renovation
300.0,Secondary, Щукинская,18,6,424.0,229.0,41.7,35,35,European-style renovation
116.0,Secondary,Маяковская,3,3,148.0,95.0,27.0,5,7,European-style renovation
234.37,Secondary, Площадь Революции,2,3,111.64,48.7,27.1,3,4,Designer
235.0,Secondary, Спортивная,11,4,178.0,119.6,11.6,6,12,Designer
526.20906,Secondary, Новокузнецкая,15,3,162.11,84.1,20.1,6,6,Designer
95.0,Secondary, Раменки,1,4,201.0,100.0,15.0,14,23,Designer
271.57,Secondary, Спортивная,1,6,208.9,37.0,23.9,16,16,Without renovation
139.0,Secondary, Беговая,25,3,100.0,15.0,14.9,18,21,Designer
125.0,Secondary,Улица 1905 года,7,4,164.0,85.0,20.2,3,12,European-style renovation
433.018375,Secondary,Полянка,1,4,273.4,140.4,29.3,7,11,European-style renovation
99.0,Secondary,Парк культуры,9,4,233.0,159.6,23.1,4,4,European-style renovation
175.1535,Secondary,Белорусская,13,4,195.0,100.7,22.8,13,21,Designer
130.0,Secondary, ЗИЛ,14,6,222.0,96.0,37.0,1,3,Without renovation
180.0,Secondary,Новослободская,8,5,199.0,102.7,23.1,4,13,Without renovation
96.0,Secondary,Динамо,11,4,142.5,103.5,16.0,4,12,Designer
1264.9975,Secondary,Баррикадная,11,6,640.0,250.0,70.0,6,6,Without renovation
117.0,Secondary,Улица 1905 года,11,3,180.0,60.0,20.0,7,10,Designer
90.0,Secondary,Минская,34,4,147.0,76.5,18.8,11,17,Without renovation
200.0,Secondary,Университет,5,3,186.0,96.2,22.0,2,19,Designer
240.0,Secondary,Киевская,13,4,172.0,71.0,10.0,5,9,Without renovation
1313.36775,Secondary,Баррикадная,11,10,630.0,320.6,58.8,6,6,Designer
290.0,Secondary, Смоленская,13,3,151.0,106.0,20.0,2,7,Designer
90.0,Secondary,Давыдково,17,4,160.1,105.0,40.0,21,23,Without renovation
109.0,Secondary,Проспект Мира,6,5,216.0,111.3,24.5,3,17,European-style renovation
89.99,Secondary,Минская,19,4,205.0,105.0,25.0,14,21,Designer
440.0,Secondary, Спортивная,9,6,387.0,210.0,40.0,4,5,Designer
270.25,Secondary,Фрунзенская,10,6,208.9,170.0,30.0,16,15,Without renovation
